identifier	case	otest_types	semantics	profiles	status	normative_syntax	premise	conclusion	rl_corpus	dl_corpus	dl_probe
Qualified-cardinality-boolean	qualified-cardinality-boolean	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	no-rdfxml-premise	not-vendored	no-rdfxml-premise
Qualified-cardinality-restricted-int	qualified-cardinality-restricted-int	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Proposed	FUNCTIONAL	no	none	no-rdfxml-premise	not-vendored	no-rdfxml-premise
rdfbased-sem-bool-complement-inst	rdfbased-sem-bool-complement-inst	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-bool-intersection-inst-comp	rdfbased-sem-bool-intersection-inst-comp	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-bool-intersection-inst-expr	rdfbased-sem-bool-intersection-inst-expr	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-bool-intersection-term	rdfbased-sem-bool-intersection-term	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-bool-union-inst-comp	rdfbased-sem-bool-union-inst-comp	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-bool-union-term	rdfbased-sem-bool-union-term	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-chain-def	rdfbased-sem-chain-def	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-char-asymmetric-inst	rdfbased-sem-char-asymmetric-inst	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-char-asymmetric-term	rdfbased-sem-char-asymmetric-term	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-char-functional-inst	rdfbased-sem-char-functional-inst	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
rdfbased-sem-char-inversefunc-data	rdfbased-sem-char-inversefunc-data	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-char-inversefunc-inst	rdfbased-sem-char-inversefunc-inst	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
rdfbased-sem-char-irreflexive-inst	rdfbased-sem-char-irreflexive-inst	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
rdfbased-sem-char-symmetric-inst	rdfbased-sem-char-symmetric-inst	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	conclusion	outside-rl-profile	graded	graded
